Last name,First name,Country
TONER,Devin,IRE
BEARD,Adam,WAL
RYAN,James,IRE
TAOFIFENUA,Romain,FRA
BALL,Jake,WAL
LAWES,Courtney,ENG
TOOLIS,Ben,SCO
WILLEMSE,Paul,FRA
GILCHRIST,Grant,SCO
HENDERSON,Iain,IRE
KRUIS,George,ENG
LAUNCHBURY,Joe,ENG
WYN,Alun,WAL
DILLANE,Ultan,IRE
GRAY,Jonny,SCO
BUDD,Dean,ITA
DAVIES,Seb,WAL
RUZZA,Federico,ITA
ITOJE,Maro,ENG
HILL,Cory,WAL
SHINGLER,Aaron,WAL
OLLIVON,Charles,FRA
SISI,David,ITA
LICATA,Giovanni,ITA
STEYN,Abraham,ITA
NEGRI,Sebastian,ITA
NORTH,George,WAL
SARTO,Leonardo,ITA
KINGHORN,Blair,SCO
HENSHAW,Robbie,IRE
BELLINI,Mattia,ITA
ZANNI,Alessandro,ITA
BRADBURY,Magnus,SCO
DU,Cornell,SCO
RITCHIE,Jamie,SCO
SGARBI,Alberto,ITA
STOCKDALE,Jacob,IRE
FICKOU,Gael,FRA
RINGROSE,Garry,IRE
MCINALLY,Stuart,SCO
WAINWRIGHT,Aaron,WAL
LE,Bernard,FRA
O�MAHONY,Peter,IRE
FARRELL,Chris,IRE
BERGHAN,Simon,SCO
WILLIAMS,Harry,ENG
CANNA,Carlo,ITA
FARRELL,Owen,ENG
SEXTON,Jonathan,IRE
BIGGAR,Dan,WAL
MURRAY,Conor,IRE
WATSON,Anthony,ENG
WILLIAMS,Liam,WAL
MAITLAND,Sean,SCO
PADOVANI,Edoardo,ITA
FALETAU,Taulupe,WAL
ADAMS,Josh,WAL
MORIARTY,Ross,WAL
PARKES,Hadleigh,WAL
WATKIN,Owen,WAL
TIPURIC,Justin,WAL
HARRIS,Chris,SCO
ELIAS,Ryan,WAL
FAGERSON,Zander,SCO
POLLEDRI,Jake,ITA
EVANS,Rob,WAL
BONI,Tommaso,ITA
MAY,Jonny,ENG
UNDERHILL,Sam,ENG
STANDER,CJ,IRE
TUILAGI,Manu,ENG
JONES,Huw,SCO
HEALY,Cian,IRE
NTAMACK,Romain,FRA
THOMAS,Teddy,FRA
BENVENUTI,Tommaso,ITA
VAKATAWA,Virimi,FRA
SCOTT,Matt,SCO
PENAUD,Damian,FRA
CURRY,Tom,ENG
MCGRATH,Jack,IRE
HASTINGS,Adam,SCO
DELL,Allan,SCO
WATSON,Hamish,SCO
BAMBA,Demba,FRA
OWENS,Ken,WAL
NAVIDI,Josh,WAL
MCGUIGAN,Byron,SCO
GENGE,Ellis,ENG
DALY,Elliot,ENG
CECCARELLI,Pietro,ITA
HAYWARD,Jayden,ITA
ALLAN,Tommaso,ITA
RUSSELL,Finn,SCO
HOGG,Stuart,SCO
JOSEPH,Jonathan,ENG
MORISI,Luca,ITA
WEBB,Rhys,WAL
BROWN,Fraser,SCO
DEE,Elliot,WAL
BAILLE,Cyril,FRA
HOLMES,Jonah,WAL
SUTHERLAND,Rory,SCO
JONES,Wyn,WAL
KILCOYNE,Dave,IRE
LOVOTTI,Andrea,ITA
LEWIS,Dillon,WAL
MARLER,Joe,ENG
BHATTI,Jamie,SCO
FURLONG,Tadhg,IRE
SINCKLER,Kyle,ENG
COWAN-DICKIE,Luke,ENG
PORTER,Andrew,IRE
VUNIPOLA,Mako,ENG
SERIN,Baptiste,FRA
JOHNSON,Sam,SCO
GEORGE,Jamie,ENG
MARCHAND,Julien,FRA
POIROT,Jefferson,FRA
CONWAY,Andrew,IRE
BISEGNI,Giulio,ITA
VANDERFLIER,Josh,IRE
KEARNEY,Dave,IRE
FABIANI,Oliviero,ITA
BIGI,Luca,ITA
NEL,Willem,SCO
ALDEGHERI,Dorian,FRA
ALDEGHERI,Dorian,FRA
HALFPENNY,Leigh,WAL
EARLS,Keith,IRE
YOUNGS,Ben,ENG
DAVIES,Gareth,WAL
AKI,Bundee,IRE
PRICE,Ali,SCO
WILLIAMS,Tomos,WAL
LARMOUR,Jordan,IRE
COONEY,John,IRE
RAMOS,Thomas,FRA
PYRGOS,Henry,SCO
VIOLI,Marcello,ITA
PALAZZANI,Guglielmo,ITA
JALIBERT,Matthieu,FRA
FORD,George,ENG
MINOZZI,Matteo,ITA
GRAHAM,Darcy,SCO
DUPONT,Antoine,FRA
MCGRATH,Luke,IRE
