Country , region , population , area , density 
Afghanistan,Asia,31056997,647500,47.0
Albania,Europe,3581655,28748,124.0
Algeria,Africa,32930091,2381740,13.0
American Samoa,Oceania,57794,199,290.0
Andorra,Europe,71201,468,152.0
Angola,Africa,12127071,1246700,9.0
Anguilla,Latin amer. & carib,13477,102,132.0
Antigua & Barbuda,Latin amer. & carib,69108,443,156.0
Argentina,Latin amer. & carib,39921833,2766890,14.0
Armenia,Europe,2976372,29800,99.0
Aruba,Latin amer. & carib,71891,193,372.0
Australia,Oceania,20264082,7686850,2.0
Austria,Europe,8192880,83870,97.0
Azerbaijan,Europe,7961619,86600,91.0
Bahamas,Latin amer. & carib,303770,13940,21.0
Bahrain,Near east,698585,665,1050.0
Bangladesh,Asia,147365352,144000,1023.0
Barbados,Latin amer. & carib,279912,431,649.0
Belarus,Europe,10293011,207600,49.0
Belgium,Europe,10379067,30528,339.0
Belize,Latin amer. & carib,287730,22966,12.0
Benin,Africa,7862944,112620,69.0
Bermuda,Northern america,65773,53,1241.0
Bhutan,Asia,2279723,47000,48.0
Bolivia,Latin amer. & carib,8989046,1098580,8.0
Bosnia & Herzegovina,Europe,4498976,51129,87.0
Botswana,Africa,1639833,600370,2.0
Brazil,Latin amer. & carib,188078227,8511965,22.0
British Virgin Is.,Latin amer. & carib,23098,153,150.0
Brunei,Asia,379444,5770,65.0
Bulgaria,Europe,7385367,110910,66.0
Burkina Faso,Africa,13902972,274200,50.0
Burma,Asia,47382633,678500,69.0
Burundi,Africa,8090068,27830,290.0
Cambodia,Asia,13881427,181040,76.0
Cameroon,Africa,17340702,475440,36.0
Canada,Northern america,33098932,9984670,3.0
Cape Verde,Africa,420979,4033,104.0
Cayman Islands,Latin amer. & carib,45436,262,173.0
Central African Rep.,Africa,4303356,622984,6.0
Chad,Africa,9944201,1284000,7.0
Chile,Latin amer. & carib,16134219,756950,21.0
China,Asia,1313973713,9596960,136.0
Colombia,Latin amer. & carib,43593035,1138910,38.0
Comoros,Africa,690948,2170,318.0
Congo Dem. Rep.,Africa,62660551,2345410,26.0
Congo Repub. of the,Africa,3702314,342000,10.0
Cook Islands,Oceania,21388,240,89.0
Costa Rica,Latin amer. & carib,4075261,51100,79.0
Cote d'Ivoire,Africa,17654843,322460,54.0
Croatia,Europe,4494749,56542,79.0
Cuba,Latin amer. & carib,11382820,110860,102.0
Cyprus,Near east,784301,9250,84.0
